listing_title,Vendor,Location,In Stock,Coupon Code,Price (USD),Link*,scraping_date
https://keeb-finder.com/keyboards/keychron-v5-max-qmk-via-wireless-custom-mechanical-keyboard,,CN,,-,$95 - $115-,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/keychron-v5-max-qmk-via-wireless-custom-mechanical-keyboard,,Global,?,-,$104 - $140- Out of stock,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/keychron-v2-max-qmk-via-wireless-custom-mechanical-keyboard,,US,,-5% Code: KEEBFINDER,$74 - $94-5% Code: KEEBFINDER,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/keychron-v2-max-qmk-via-wireless-custom-mechanical-keyboard,,CN,,-,$90 - $110-,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/keychron-v2-max-qmk-via-wireless-custom-mechanical-keyboard,,Global,?,-,$99 - $135- Out of stock,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/keychron-v1-max-qmk-via-wireless-custom-mechanical-keyboard,,US,,-5% Code: KEEBFINDER,$74 - $94-5% Code: KEEBFINDER,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/keychron-v1-max-qmk-via-wireless-custom-mechanical-keyboard,,CN,,-,$90 - $110-,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/keychron-v1-max-qmk-via-wireless-custom-mechanical-keyboard,,Global,?,-,$99 - $135- Out of stock,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/hibi-junior-numpad,,US,,-5% Code: KEEBFINDER,$93 -5% Code: KEEBFINDER,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/daringrun-dr-70f-keyboard,,US,,-5% Code: KEEBFINDER,$139 - $159-5% Code: KEEBFINDER,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/akko-mod-007b-he-75-keyboard,,US,,-5% Code: KEEBFINDER,$169 -5% Code: KEEBFINDER,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/monsgeek-ice75-75-keyboard,,US,,-5% Code: KEEBFINDER,$69 -5% Code: KEEBFINDER,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/keychron-q14-pro-96-southpaw-alice-keyboard,,US,,-5% Code: KEEBFINDER,$200 -5% Code: KEEBFINDER,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/keychron-q14-pro-96-southpaw-alice-keyboard,,US,,-,$200 - $220-,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/keychron-q14-pro-96-southpaw-alice-keyboard,,CN,,-,$216 - $236-,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/keychron-q14-pro-96-southpaw-alice-keyboard,,Global,?,-,$225 - $261- Out of stock,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/monsgeek-m6-alice-kit,,Global,,-,$99 - $109-,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/monsgeek-m6-alice-kit,,US,,-5% Code: KEEBFINDER,$119 -5% Code: KEEBFINDER,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/monsgeek-m6-alice-kit,,US,,-,$120 -,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/lofree-flow-75-low-profile-keyboard,,US,,-5% Code: KEEBFINDER,$159 -5% Code: KEEBFINDER,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/lofree-flow-75-low-profile-keyboard,,Global,,-,$159 - $179-,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/lofree-flow-75-low-profile-keyboard,,Global,,-,$170 -,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/monsgeek-m1w-75-wireless-keyboard,,Global,,-,$101 -,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/monsgeek-m1w-75-wireless-keyboard,,US,,-5% Code: KEEBFINDER,$150 -5% Code: KEEBFINDER,Visit shop,2024-03-28
