cate_product_title,cate_pirce,cate_vendor,cate_voucher,cate_new_tag,listing_link,listing_link,Brand,Product type,Profile,Layout size,Layout standard,Layout ergonomics,Hot-swappable,Knob support,Rgb support,Display support,QMK/VIA,Connection,Battery capacity,Mount style,Case material,Keycap material,scraping_date
MMkeyboard 【INSTOCK】Class80R2,$305,MMkeyboard,None,None,https://keeb-finder.com/keyboards/class80-r2,https://keeb-finder.com/keyboards/class80-r2,MMkeyboard,Keyboard Kit,Normal Profile,80%,ANSI,Normal,Yes,No,No,No,No,Wired,No battery,Top Mount,Plastic,ABS,2024-03-28
Monokei Systems,$189,Dangkeebs,None,None,https://keeb-finder.com/keyboards/monokei-systems-low-profile-keyboard,https://keeb-finder.com/keyboards/monokei-systems-low-profile-keyboard,Monokei,Keyboard Kit,Low Profile,75%,"ANSI, ISO",Normal,No,Yes,Yes,No,No,"Bluetooth, 2.4 GHz, Wireless",760 mAh,Gasket Mount,Aluminum,ABS,2024-03-28
Keychron Q1 Max,$189,Divinikey,None,None,https://keeb-finder.com/keyboards/keychron-q1-max-qmk-via-wireless-custom-mechanical-keyboard,https://keeb-finder.com/keyboards/keychron-q1-max-qmk-via-wireless-custom-mechanical-keyboard,Keychron,Keyboard,Normal Profile,75%,ANSI,Normal,Yes,Yes,Yes,No,Yes,"Wired, Bluetooth, 2.4 GHz, Wireless",4000 mAh,Gasket Mount,Metal,PBT,2024-03-28
Keychron Q2 Max,$189,Divinikey,None,None,https://keeb-finder.com/keyboards/keychron-q2-max-qmk-via-wireless-custom-mechanical-keyboard,https://keeb-finder.com/keyboards/keychron-q2-max-qmk-via-wireless-custom-mechanical-keyboard,Keychron,Keyboard,Normal Profile,65%,ANSI,Normal,Yes,Yes,Yes,No,Yes,"Wired, Bluetooth, 2.4 GHz, Wireless",4000 mAh,Gasket Mount,Metal,PBT,2024-03-28
Keychron Q3 Max,$194,Divinikey,None,None,https://keeb-finder.com/keyboards/keychron-q3-max-qmk-via-wireless-custom-mechanical-keyboard,https://keeb-finder.com/keyboards/keychron-q3-max-qmk-via-wireless-custom-mechanical-keyboard,Keychron,Keyboard,Normal Profile,80%,ANSI,Normal,Yes,Yes,Yes,No,Yes,"Bluetooth, 2.4 GHz, Wireless",4000 mAh,Gasket Mount,Metal,PBT,2024-03-28
Keychron Q5 Max,$199,Divinikey,None,None,https://keeb-finder.com/keyboards/keychron-q5-max-qmk-via-wireless-custom-mechanical-keyboard,https://keeb-finder.com/keyboards/keychron-q5-max-qmk-via-wireless-custom-mechanical-keyboard,Keychron,Keyboard,Normal Profile,96%,ANSI,Normal,Yes,Yes,Yes,No,Yes,"Wired, Bluetooth, 2.4 GHz, Wireless",4000 mAh,Gasket Mount,Metal,PBT,2024-03-28
Keychron V5 Max,$79,Divinikey,None,None,https://keeb-finder.com/keyboards/keychron-v5-max-qmk-via-wireless-custom-mechanical-keyboard,https://keeb-finder.com/keyboards/keychron-v5-max-qmk-via-wireless-custom-mechanical-keyboard,Keychron,Keyboard,Normal Profile,96%,ANSI,Normal,Yes,Yes,Yes,No,Yes,"Bluetooth, 2.4 GHz, Wireless",4000 mAh,Gasket Mount,Plastic,PBT,2024-03-28
Keychron V2 Max,$74,Divinikey,None,None,https://keeb-finder.com/keyboards/keychron-v2-max-qmk-via-wireless-custom-mechanical-keyboard,https://keeb-finder.com/keyboards/keychron-v2-max-qmk-via-wireless-custom-mechanical-keyboard,Keychron,Keyboard,Normal Profile,65%,ANSI,Normal,Yes,Yes,Yes,No,Yes,"Bluetooth, 2.4 GHz, Wireless",-,Gasket Mount,Plastic,PBT,2024-03-28
Keychron V1 Max,$74,Divinikey,None,None,https://keeb-finder.com/keyboards/keychron-v1-max-qmk-via-wireless-custom-mechanical-keyboard,https://keeb-finder.com/keyboards/keychron-v1-max-qmk-via-wireless-custom-mechanical-keyboard,Keychron,Keyboard,Normal Profile,75%,ANSI,Normal,Yes,Yes,Yes,No,Yes,"Wired, Bluetooth, 2.4 GHz, Wireless",-,Gasket Mount,Plastic,PBT,2024-03-28
HIBI JUNIOR Numpad,$93,Divinikey,-0.05,None,https://keeb-finder.com/keyboards/hibi-junior-numpad,https://keeb-finder.com/keyboards/hibi-junior-numpad,HIBI,Keyboard Kit,Normal Profile,Numpad,ANSI,Normal,Yes,No,No,No,Yes,Wired,No battery,Tray Mount,Plastic,Unknown,2024-03-28
DaringRun Instock DR70F,$139,Divinikey,-0.05,None,https://keeb-finder.com/keyboards/daringrun-dr-70f-keyboard,https://keeb-finder.com/keyboards/daringrun-dr-70f-keyboard,DaringRun,Keyboard Kit,Normal Profile,70%,ANSI,Normal,Yes,No,No,No,Yes,"Bluetooth, Wireless",6400 mAh,Sandwich Mount,Aluminum,Unknown,2024-03-28
Akko MOD 007B HE,$169,Divinikey,-0.05,None,https://keeb-finder.com/keyboards/akko-mod-007b-he-75-keyboard,https://keeb-finder.com/keyboards/akko-mod-007b-he-75-keyboard,Akko,Keyboard Kit,Normal Profile,75%,ANSI,Normal,Yes,No,Yes,No,No,"Bluetooth, 2.4 GHz, Wireless",3600 mAh,Plate Mount,Plastic,PBT,2024-03-28
Monsgeek ICE75,$69,Divinikey,-0.05,None,https://keeb-finder.com/keyboards/monsgeek-ice75-75-keyboard,https://keeb-finder.com/keyboards/monsgeek-ice75-75-keyboard,Monsgeek,Keyboard Kit,Normal Profile,75%,ANSI,Normal,Yes,No,Yes,No,No,"Bluetooth, 2.4 GHz, Wireless",3000 mAh,Top Mount,Plastic,Unknown,2024-03-28
Keychron Q14 Pro Alice,$200,Divinikey,None,None,https://keeb-finder.com/keyboards/keychron-q14-pro-96-southpaw-alice-keyboard,https://keeb-finder.com/keyboards/keychron-q14-pro-96-southpaw-alice-keyboard,Keychron,Keyboard,Normal Profile,96%,ANSI,Alice,Yes,Yes,Yes,No,Yes,"Bluetooth, Wireless",4000 mAh,Gasket Mount,Metal,PBT,2024-03-28
Monsgeek M6 Alice,$99,Mechkeys,None,None,https://keeb-finder.com/keyboards/monsgeek-m6-alice-kit,https://keeb-finder.com/keyboards/monsgeek-m6-alice-kit,Monsgeek,Keyboard Kit,Normal Profile,65%,ANSI,Alice,Yes,Yes,Yes,No,Yes,"Wired, Bluetooth, Wireless",-,Gasket Mount,Aluminum,Unknown,2024-03-28
Lofree Flow Low Profile,$159,Divinikey,None,None,https://keeb-finder.com/keyboards/lofree-flow-75-low-profile-keyboard,https://keeb-finder.com/keyboards/lofree-flow-75-low-profile-keyboard,Lofree,Keyboard,Low Profile,75%,ANSI,Normal,Yes,No,Yes,No,No,"Bluetooth, Wireless",2000 mAh,Gasket Mount,Aluminum,PBT,2024-03-28
Monsgeek M1W,$101,Mechkeys,None,None,https://keeb-finder.com/keyboards/monsgeek-m1w-75-wireless-keyboard,https://keeb-finder.com/keyboards/monsgeek-m1w-75-wireless-keyboard,Monsgeek,Keyboard Kit,Normal Profile,75%,ANSI,Normal,Yes,Yes,Yes,No,No,"2.4 GHz, Wireless",6000 mAh,Plate Mount,Aluminum,PBT,2024-03-28
Monsgeek M5,$140,Divinikey,None,None,https://keeb-finder.com/keyboards/monsgeek-m5-full-keyboard,https://keeb-finder.com/keyboards/monsgeek-m5-full-keyboard,Monsgeek,Keyboard Kit,Normal Profile,100%,ANSI,Normal,Yes,Yes,Yes,No,Yes,"Wired, Bluetooth, Wireless",-,Gasket Mount,Aluminum,PBT,2024-03-28
Keychron Q6 Pro,$179,Meow Key,None,None,https://keeb-finder.com/keyboards/keychron-q6-pro-full-wireless-keyboard,https://keeb-finder.com/keyboards/keychron-q6-pro-full-wireless-keyboard,Keychron,Keyboard,Normal Profile,100%,"ISO, ANSI",Normal,Yes,Yes,Yes,No,Yes,"Wired, Bluetooth, Wireless",4000 mAh,Gasket Mount,Metal,ABS,2024-03-28
Keychron Q5 Pro,$186,Keychron (DE),None,None,https://keeb-finder.com/keyboards/keychron-q5-pro-96-wireless-keyboard,https://keeb-finder.com/keyboards/keychron-q5-pro-96-wireless-keyboard,Keychron,Keyboard,Normal Profile,96%,"ISO, ANSI",Normal,Yes,Yes,Yes,No,Yes,"Wired, Bluetooth, Wireless",4000 mAh,Gasket Mount,Metal,ABS,2024-03-28
Keychron Q4 Pro,$171,Keychron (DE),None,None,https://keeb-finder.com/keyboards/keychron-q4-pro-60-keyboard-kit,https://keeb-finder.com/keyboards/keychron-q4-pro-60-keyboard-kit,Keychron,Keyboard,Normal Profile,60%,ANSI,Normal,Yes,No,Yes,No,Yes,"Wired, Bluetooth, Wireless",4000 mAh,Gasket Mount,Metal,PBT,2024-03-28
Monsgeek M3,$122,Meow Key,None,None,https://keeb-finder.com/keyboards/monsgeek-m3,https://keeb-finder.com/keyboards/monsgeek-m3,Monsgeek,Keyboard Kit,Normal Profile,80%,ANSI,Normal,Yes,Yes,Yes,No,Yes,"Wired, Bluetooth, Wireless",-,Gasket Mount,Aluminum,Unknown,2024-03-28
Keychron Q2 Pro,$164,Meow Key,None,None,https://keeb-finder.com/keyboards/keychron-q2-pro-wireless-65-keyboard,https://keeb-finder.com/keyboards/keychron-q2-pro-wireless-65-keyboard,Keychron,Keyboard,Normal Profile,65%,"ISO, ANSI",Normal,Yes,Yes,Yes,No,Yes,"Bluetooth, Wired, Wireless",4000 mAh,Gasket Mount,Metal,ABS,2024-03-28
Keychron Q3 Pro,$179,Meow Key,None,None,https://keeb-finder.com/keyboards/keychron-q3-pro-wireless-tkl-keyboard,https://keeb-finder.com/keyboards/keychron-q3-pro-wireless-tkl-keyboard,Keychron,Keyboard,Normal Profile,80%,"ISO, ANSI",Normal,Yes,Yes,Yes,No,Yes,"Wired, Bluetooth, Wireless",4000 mAh,Gasket Mount,Metal,ABS,2024-03-28
Keychron Q1 Pro,$164,Meow Key,None,None,https://keeb-finder.com/keyboards/keychron-q1-pro-wireless-75-keyboard,https://keeb-finder.com/keyboards/keychron-q1-pro-wireless-75-keyboard,Keychron,Keyboard,Normal Profile,75%,"ISO, ANSI",Normal,Yes,Yes,Yes,No,Yes,"Bluetooth, Wired, Wireless",4000 mAh,Gasket Mount,Metal,ABS,2024-03-28
KBDFans TOFU60 20,$184,Meow Key,None,None,https://keeb-finder.com/keyboards/kbdfans-tofu60-2-0,https://keeb-finder.com/keyboards/kbdfans-tofu60-2-0,KBDFans,Keyboard Kit,Normal Profile,60%,ANSI,Normal,Yes,No,Yes,No,Yes,Wired,No battery,Tray Mount,Aluminum,Unknown,2024-03-28
KBDFans TOFU65 20,$199,Meow Key,None,None,https://keeb-finder.com/keyboards/kbdfans-tofu65-2-0,https://keeb-finder.com/keyboards/kbdfans-tofu65-2-0,KBDFans,Keyboard Kit,Normal Profile,65%,ANSI,Normal,Yes,No,Yes,No,Yes,Wired,No battery,Top Mount,Aluminum,Unknown,2024-03-28
Monsgeek M2 1800,$129,Divinikey,-0.05,None,https://keeb-finder.com/keyboards/monsgeek-m2-1800-keyboard-kit,https://keeb-finder.com/keyboards/monsgeek-m2-1800-keyboard-kit,Monsgeek,Keyboard Kit,Normal Profile,96%,ANSI,Normal,Yes,No,Yes,No,Yes,Wired,No battery,Gasket Mount,Aluminum,Unknown,2024-03-28
Keychron Q12,$185,Divinikey,None,None,https://keeb-finder.com/keyboards/keychron-q12-qmk-96-southpaw-keyboard,https://keeb-finder.com/keyboards/keychron-q12-qmk-96-southpaw-keyboard,Keychron,Keyboard,Normal Profile,96%,ANSI,Normal,Yes,Yes,Yes,No,Yes,Wired,No battery,Gasket Mount,Plastic,PBT,2024-03-28
Keychron Q0 Plus Numpad,$92,Meow Key,None,None,https://keeb-finder.com/keyboards/keychron-q0-plus-qmk-numpad,https://keeb-finder.com/keyboards/keychron-q0-plus-qmk-numpad,Keychron,Keyboard,Normal Profile,Numpad,ANSI,Normal,Yes,Yes,Yes,No,Yes,Wired,No battery,Gasket Mount,Aluminum,ABS,2024-03-28
Keychron V10 Alice,$84,Divinikey,None,None,https://keeb-finder.com/keyboards/keychron-v10-qmk-alice-keyboard,https://keeb-finder.com/keyboards/keychron-v10-qmk-alice-keyboard,Keychron,Keyboard,Normal Profile,75%,"ISO, ANSI",Alice,Yes,Yes,Yes,No,Yes,Wired,No battery,Tray Mount,Plastic,ABS,2024-03-28
Keychron V2,$64,Divinikey,None,None,https://keeb-finder.com/keyboards/keychron-v2-qmk-65-keyboard,https://keeb-finder.com/keyboards/keychron-v2-qmk-65-keyboard,Keychron,Keyboard,Normal Profile,65%,"ISO, ANSI, ISO ES",Normal,Yes,Yes,Yes,No,Yes,Wired,No battery,Tray Mount,Plastic,ABS,2024-03-28
Keychron V3,$64,Divinikey,None,None,https://keeb-finder.com/keyboards/keychron-v3-qmk-tkl-keyboard,https://keeb-finder.com/keyboards/keychron-v3-qmk-tkl-keyboard,Keychron,Keyboard,Normal Profile,80%,"ISO, ANSI, ISO ES",Normal,Yes,Yes,Yes,No,Yes,Wired,No battery,Tray Mount,Plastic,ABS,2024-03-28
Keychron Q10 Alice,$184,MK,None,None,https://keeb-finder.com/keyboards/keychron-q10-qmk-alice-keyboard,https://keeb-finder.com/keyboards/keychron-q10-qmk-alice-keyboard,Keychron,Keyboard,Normal Profile,75%,"ISO, ANSI",Alice,Yes,Yes,Yes,No,Yes,Wired,No battery,Gasket Mount,Metal,ABS,2024-03-28
Keychron Q9,$129,Dangkeebs,None,None,https://keeb-finder.com/keyboards/keychron-q9-qmk-40-keyboard,https://keeb-finder.com/keyboards/keychron-q9-qmk-40-keyboard,Keychron,Keyboard,Normal Profile,60%,ANSI,Normal,Yes,Yes,Yes,No,Yes,Wired,No battery,Gasket Mount,Metal,PBT,2024-03-28
